Country Code,Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
KWT,Kuwait,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
KGZ,Kyrgyz Republic,99.17,99.27,99.36,99.45,99.53,99.61,99.67,99.8,99.74,99.75,99.73,99.7,100,99.6,99.55,99.44,99.46,99.45,99.45,99.48,99,99.58,99.8,99.73,99.8,99.91,100
LAO,Lao PDR,15.3,18.13,20.95,31,26.58,25,32.18,34.95,37.71,40.45,43.16,45.86,46.3,48,53.89,57.2,57.04,61.98,66,67.47,70.24,70,76.37,78.64,81.46,89.7,87.1
LTE,Late-demographic dividend,89.7,90.32,90.58,91.13,91.64,92.04,92.6,92.87,93.51,93.91,94.12,94.67,95.24,95.5,95.8,96.37,97.07,96.96,97.4,97.85,98.39,98.55,98.82,98.98,98.92,99.12,99.22
LAC,Latin America & Caribbean,84.91,86.13,86.24,87.07,87.95,88.05,89.13,89.59,90.24,90.91,91.24,91.6,92.16,92.39,92.78,93.18,93.87,94.22,94.98,95.2,95.57,95.91,96.27,96.7,96.68,96.95,97.55
LCN,Latin America & Caribbean (all income levels),85.56,86.75,86.89,87.68,88.5,88.64,89.63,90.09,90.73,91.34,91.71,92.04,92.62,92.91,93.23,93.62,94.28,94.61,95.31,95.56,95.91,96.26,96.61,97,97.01,97.25,97.8
TLA,Latin America & Caribbean (IDA & IBRD),85.38,86.59,86.72,87.52,88.36,88.49,89.49,89.96,90.61,91.22,91.58,91.91,92.45,92.75,93.07,93.46,94.14,94.47,95.19,95.44,95.8,96.16,96.52,96.92,96.94,97.18,97.74
CLA,Latin America and the Caribbean (IFC classification),,,,,,,,,,,,,,,,,,,,,,,,,,,
LVA,Latvia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
LDC,Least developed countries: UN classification,9.09,10.55,11.06,11.7,12.64,13.98,15.64,15.78,17.95,18.94,20.48,21.05,22.67,24.09,24.7,25.84,28.55,29.44,30.45,31.46,32.51,34.16,36.42,37.12,38.7,40.7,44.79
LBN,Lebanon,97.91,98.09,98.27,98.44,98.61,98.77,98.92,99.06,99.17,99.26,99.34,99.4,99.44,99.48,99.9,99.57,99.38,99.9,99.9,99.88,99.95,99.68,100,100,100,100,100
LSO,Lesotho,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.06,0.3,0.96,4.26,3.63,5.3,6.97,6.8,10.31,9.7,13.7,15.42,17,18.94,20.72,22.51,24.31,27.8,27.92,29.73
LBR,Liberia,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.24,3,1.75,1.9,5.15,4.1,8.6,9.8,9.4,13.84,19.8
LBY,Libya,99.84,99.85,99.86,99.87,99.87,99.86,99.84,99.81,99.75,99.68,99.8,99.46,99.34,99.2,99.07,98.94,98.82,98.72,98.64,98.59,98.55,98.53,98.52,98.52,98.52,98.53,98.54
LIE,Liechtenstein,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
LTU,Lithuania,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
LMY,Low & middle income,65.11,65.42,66.69,67.54,67.93,68.79,69.76,70.65,71.49,72.87,73.04,72.55,74.42,75.21,75.43,76.29,77.31,77.97,78.63,79.77,80.18,78.96,82.06,82.23,82.88,84.5,84.9
LIC,Low income,8.74,9.35,10.01,10.17,10.77,11.89,13.4,13.74,14.93,15.9,17.93,17.42,18.71,20.33,20.7,21.45,23.72,25.49,26.01,27.14,27.97,28.79,31.41,32.1,33.58,34.47,38.89
LIX,"Low income, excluding China and India",,,,,,,,,,,,,,,,,,,,,,,,,,,
LMC,Lower middle income,47.76,48.03,50.74,52.43,53.02,54.65,56.47,58.08,59.65,62.32,62.39,61.31,64.96,66.4,66.82,68.52,70.07,71.27,72.5,74.63,75.18,72.56,78.57,78.86,80.1,83.52,83.42
LSA,Low-income Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUX,Luxembourg,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
MAC,"Macao SAR, China",,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
MDG,Madagascar,9.57,10.01,9.2,10.89,11.33,11.75,12.16,10.9,12.94,13.29,13.62,14.8,14.24,20.3,14.83,15.14,15.45,15.78,16.14,17.4,16.9,14.3,17.73,12.9,18.6,19.04,22.9
MWI,Malawi,1.12,1.55,3.2,2.4,2.82,3.23,3.63,4.01,4.38,4.72,4.8,5.34,5.63,6.2,6.9,6.48,3.65,7.1,7.44,7.8,8.7,7.6,7.4,9,11.9,10.8,11
MYS,Malaysia,93.96,94.3,94.64,94.98,95.31,95.63,95.94,96.24,96.52,96.77,97.01,97.22,97.42,97.62,97.81,98.02,98.24,98.48,98.73,99.3,99.29,99.57,99.8,99.93,99.99,100,100
MDV,Maldives,73.09,74.37,75.64,76.92,78.18,79.44,80.69,81.92,83.13,84.32,83.8,86.64,87.78,88.91,90.04,91.18,92.32,93.49,94.68,99.9,97.12,98.25,99.16,99.71,100,99.99,100
MLI,Mali,0.01,0.02,0.13,0.51,0.89,2.49,6.2,5.67,7.23,8.77,10.28,10.8,13.27,14.75,16.23,17.71,16.6,20.73,22.26,24.03,25.4,26.99,25.6,30.21,31.83,37.6,35.07
MLT,Malta,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
MHL,Marshall Islands,52.44,54.07,55.69,57.32,58.93,60.54,62.14,63.72,65.28,68.52,68.34,69.84,71.32,72.81,74.29,75.77,77.27,72.3,80.32,81.88,83.46,89.92,86.66,88.27,89.89,91.51,93.14
MTQ,Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRT,Mauritania,3.89,5.4,6.91,8.42,9.93,11.42,12.91,14.37,15.82,17.25,18.66,22.2,21.42,22.78,24.15,18.2,26.91,33.04,30,31.19,32.65,34.13,35.62,37.12,38.8,39.5,41.65
MUS,Mauritius,99.23,99.28,99.32,99.36,99.4,99.42,99.44,99.43,99.41,99.37,99,99.22,99.4,99.02,98.92,98.82,98.74,98.67,98.63,98.61,98.6,99.4,98.63,98.66,98.7,98.74,98.78
MYT,Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,Mexico,94.26,94.58,93.15,95.19,95.24,95.79,96.09,96.33,96.09,96.8,98.01,97.18,97.9,97.52,98.6,98.93,99.11,98.25,98.91,98.72,99.24,99.25,99.11,99.75,99.17,99,100
FSM,Micronesia,28.04,29.92,31.81,33.69,35.56,37.43,39.28,41.12,42.94,44.74,46,48.27,50.01,51.75,53.49,55.23,56.99,58.76,60.56,62.38,64.53,66.06,67.92,69.8,71.67,73.55,75.44
MNA,Middle East & North Africa,85.94,86.48,86.61,87.52,87.89,88.12,89.03,89.37,90.1,90.61,91.24,91.58,91.8,92.66,92.5,93.54,95.49,94.15,94.81,95.06,95.35,95.95,96.42,97.54,96.37,97.52,97.7
MEA,Middle East & North Africa (all income levels),86.5,87.03,87.05,87.93,88.29,88.59,89.46,89.8,90.51,91,91.61,91.96,92.17,93,93.34,94.28,96.02,94.9,95.49,95.72,95.98,96.51,96.92,97.88,96.89,97.88,98.03
TMN,Middle East & North Africa (IDA & IBRD),85.84,86.39,86.51,87.42,87.79,88.02,88.93,89.28,90.01,90.52,91.15,91.5,91.72,92.59,92.42,93.47,95.45,94.1,94.76,95.01,95.3,95.91,96.38,97.51,96.33,97.49,97.67
MDE,Middle East (developing only),,,,,,,,,,,,,,,,,,,,,,,,,,,
CME,Middle East and North Africa (IFC classification),,,,,,,,,,,,,,,,,,,,,,,,,,,
MIC,Middle income,70.21,70.55,71.94,72.92,73.37,74.26,75.25,76.26,77.14,78.63,78.69,78.28,80.3,81.09,81.38,82.35,83.32,83.96,84.73,85.96,86.42,85.04,88.26,88.44,89.08,90.88,90.85
MDA,Moldova,94.92,95.27,95.63,95.98,96.33,96.66,96.99,97.29,97.58,97.85,98.09,98.32,99,98.75,99.1,98.6,99.41,99.63,99.82,99.94,99.99,100,100,100,100,100,100
MCO,Monaco,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
MNG,Mongolia,68.11,68.7,69.29,69.87,70.45,71.01,71.57,72.11,72.63,73.13,67.3,74.07,74.52,76.3,75.4,86.2,76.3,76.78,77.28,77.8,78.5,72.06,79.45,81.2,80.61,81.19,81.78
MNE,Montenegro,98.41,98.55,98.69,98.82,98.95,99.07,99.18,99.27,99.35,99.4,99.44,99.45,99.46,99.46,99.46,99.83,99.48,99.52,99.57,99.64,99.73,99.83,99.91,99.7,99.99,100,100
MAR,Morocco,48.12,50.33,49.2,54.74,56.94,56.5,61.32,63.48,65.63,67.75,69.85,71.93,74,76.07,78.2,80.2,96.5,84.38,86.51,88.65,90.81,92.99,95.18,97.37,91.6,99.59,100
MOZ,Mozambique,0.01,0.01,0.03,0.16,0.56,1.18,2.32,6.6,4.55,5.63,6.7,5.7,8.77,8.1,10.82,11.85,12.89,13.95,13.57,15,17.26,20.2,19.54,20.7,21.86,24,24.2
MMR,Myanmar,35.65,36.53,37.42,38.3,39.17,40.03,40.89,41.72,42.54,43.34,44.11,44.87,47,46.35,47.08,47.82,48.58,49.35,50.15,50.96,48.8,52.64,53.51,54.38,52,60.5,57.01
NAM,Namibia,25.23,26.32,26.4,28.48,29.55,30.61,31.67,32.7,33.72,34.72,36.5,36.64,37.59,38.52,39.46,40.4,41.36,43.7,43.32,44.34,45.37,46.42,47.48,47.4,49.62,50.7,51.78
NRU,Nauru,100,100,100,100,100,100,100,100,100,100,99.98,99.94,99.86,99.75,99.63,99.51,99.41,99.8,99.25,99.21,99.18,99,99.16,99.16,99.17,99,99.2
NPL,Nepal,0.01,0.07,0.46,1.73,3.53,7.58,17.9,15.62,19.61,23.59,27.54,24.6,35.39,39.3,37.2,47.14,51.2,55.02,58.99,62.98,66.99,76.3,75.06,79.1,84.9,87.21,90.7
NLD,Netherlands,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
ANT,Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCL,New Caledonia,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
NZL,New Zealand,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
NIC,Nicaragua,66.83,67.47,68.1,72.06,69.36,69.98,70.59,71.18,69.05,72.3,72.83,72.22,73.84,74.33,74.82,73.82,75.82,76.35,76.9,77.92,78.06,78.66,79.28,79.9,81.85,81.16,81.8
NER,Niger,2.29,2.89,4.4,4.08,4.66,6.2,7,6.36,6.7,7.4,6.48,8.36,8.82,9.27,9.72,7.1,9.3,11.13,11.64,12.17,12.72,14.3,14.4,14.44,15.03,16.6,16.22
NGA,Nigeria,27.3,33.56,34.62,35.68,36.73,37.77,38.8,39.81,40.81,44.9,42.74,43.67,44.59,52.2,46.42,47.34,48.27,50.13,50.3,51.19,48,55.9,54.27,55.6,56.37,52.5,59.3
NAC,North America,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
MKD,North Macedonia,94.34,94.68,95.02,95.36,95.7,96.02,96.33,96.63,96.91,97.16,97.4,97.61,97.81,98.01,98.21,98.42,99,98.87,99.2,99.2,99.65,99.73,99.96,99.99,100,100,100
MNP,Northern Mariana Islands,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
NOR,Norway,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
OED,OECD members,98.84,98.91,98.82,99.02,99.06,99.1,99.22,99.27,99.29,99.37,99.51,99.45,99.54,99.55,99.66,99.72,99.78,99.72,99.82,99.83,99.92,99.92,99.91,99.97,99.92,99.9,100
OMN,Oman,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100
LIO,Other low-income,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSS,Other small states,44.81,45.3,45.42,45.82,46.62,47.37,48.27,49.02,49.91,50.89,52.39,54.31,55.26,56.34,57.5,58.82,60.22,61.71,62.81,63.86,64.48,66.86,67.98,68.57,70.41,71.05,71.73
PSS,Pacific island small states,44.76,45.69,46.65,47.6,48.76,49.51,49.34,51.5,52.5,56.17,55.18,56.51,58.37,59.23,60.35,62.02,61.37,63.29,65.78,65.2,68.57,70.51,72,72.81,75.02,79.52,79.55
PAK,Pakistan,59.94,59.6,63.08,64.64,66.2,67.75,69.29,70.81,70.46,73.8,75.26,77.7,78.13,79.56,80.98,83.85,83.85,89.2,86.79,90.73,89.81,91.37,92.9,93.6,96.02,93.5,99.15
PLW,Palau,97.47,97.6,97.73,97.86,97.98,98.09,98.2,98.28,98.35,98.39,98.41,98.42,98.41,98.4,98.38,98.92,98.37,98.39,98.44,98.5,98.58,98.68,97.63,98.91,99.81,99.16,99.29
PAN,Panama,70.19,73.35,74.22,75.08,75.94,76.79,77.62,78.44,79.24,80.02,81.4,81.52,82.25,87.8,83.69,84.41,85.15,85.91,86.69,87.49,86.85,89.14,89.98,89.1,91.69,92.55,93.42
PNG,Papua New Guinea,5.11,5.86,6.61,7.35,8.09,8.82,11,10.23,10.91,11.57,12.21,12.83,13.44,14.04,14.64,15.25,12.4,16.5,17.16,17.84,19.5,19.25,19.97,20.71,21.45,22.19,22.93
PRY,Paraguay,80.42,81.32,82.22,83.11,84,77.47,85.74,86.41,87.42,88.52,89.02,91.04,91.67,92.56,93.25,94.69,96.75,96.45,96.68,96.89,97.43,98.24,97.84,99.02,99,99.33,98.4
PER,Peru,60.22,61.62,70.1,64.4,65.78,67.16,67,69.16,72.07,74.08,72.5,72.11,74.38,74.38,75.69,77.17,80.16,81.99,84.68,86.42,88.12,89.71,91.1,92.14,92.92,93.85,94.85
PHL,Philippines,62.11,63.29,64.46,65.4,66.79,67.94,69.08,70.21,71.3,71.87,73.46,74.51,75.54,76.6,77.59,78.62,79.66,80.72,83.3,82.91,84.03,85.17,86.32,87.5,88.65,89.08,90.98
POL,Poland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
PRT,Portugal,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
PST,Post-demographic dividend,99.79,99.8,99.82,99.84,99.85,99.86,99.89,99.9,99.91,99.92,99.93,99.94,99.94,99.95,99.96,99.98,99.97,99.98,99.98,99.99,100,100,99.99,100,100,100,100
PRE,Pre-demographic dividend,16.02,17.71,18.62,19.28,19.75,20.79,21.73,22.34,23.28,24.56,24.63,25.35,26.15,28.58,28.01,28.69,29.76,31.66,31.77,31.95,31.99,34.82,36.1,36.74,39.19,38.7,43.04
PRI,Puerto Rico,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
QAT,Qatar,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
REU,Reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROU,Romania,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
RUS,Russia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
RWA,Rwanda,0.01,0.01,2.3,0.04,0.19,0.58,1.16,2.14,3.1,4.04,6.2,5.86,6.74,7.62,8.5,4.8,10.29,11.2,6,13.1,9.7,10.8,16.07,15.2,19.8,22.8,29.37
WSM,Samoa,77.84,78.8,79.87,80.88,80,82.88,83.86,84.83,85.78,86.71,87.61,88.5,89.37,90.24,91.11,91.98,96.37,93.77,94.69,97.9,96.61,96.67,98.5,99.26,97.9,99.94,100
SMR,San Marino,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
STP,Sao Tome and Principe,42.76,43.69,44.63,45.56,46.48,47.39,48.3,49.18,50.05,50.9,52.9,52.53,53.33,54.11,54.9,55.7,56.5,57.32,58.17,56.9,59.92,60.82,57.9,62.65,68.6,64.51,65.44
SAU,Saudi Arabia,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100
SEN,Senegal,25.13,26.66,28.18,26,31.23,32.73,34.23,32.2,37.17,36.2,62.26,41.43,36.8,44.2,36.8,47.1,49.9,49.78,51.22,53.5,54.16,56.5,57.16,57,61,60.5,64.5
SRB,Serbia,99.27,99.37,99.46,99.55,99.63,99.71,99.77,99.82,99.84,99.84,99.84,99.82,100,99.73,99.69,99.69,99.62,99.62,99.62,99.64,99.72,99.74,99.81,99.89,99.66,99.98,100
ISD,Severely Indebted,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYC,Seychelles,89.55,90.02,90.49,90.96,90,91.88,92.33,92,93.16,93.55,93.92,94.26,96.1,94.92,95.25,95.58,99,96.29,96.68,97.09,97,97.95,98.41,98,99.3,99.68,100
SLE,Sierra Leone,7.08,7.52,7.96,8.4,8.82,9.25,9.65,10.05,10.42,10.77,11.1,11.42,11.72,12.01,16.8,11.33,12.91,13.24,12.1,13.96,11.46,14.2,15.17,13.5,16.03,16.47,20.3
SGP,Singapore,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
SXM,Sint Maarten (Dutch part),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
SVK,Slovak Republic,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
SVN,Slovenia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
SST,Small states,52.38,53.43,53.71,54.25,54.96,55.67,56.85,57.2,57.99,59.13,60.47,62.04,62.74,63.58,64.54,65.65,66.52,67.89,68.98,69.64,70.37,72.1,73.15,73.77,75.4,76.1,76.64
SLB,Solomon Islands,0.01,0.01,0.01,0.01,0.01,0.03,0.21,0.82,1.44,15.7,6.57,9.1,11.62,14.14,16.65,19.17,14.4,12.9,26.83,21.2,32.04,34.66,37.3,44.7,42.6,55.1,47.92
SOM,Somalia,0.01,0.01,0.01,0.01,0.02,0.14,0.53,0.95,2.49,4,5.5,6.97,7.4,9.89,11.34,12.8,15.23,15.77,17.28,18.81,20.37,21.93,23.51,25.1,26.69,28.29,29.89
ZAF,South Africa,59.34,60.58,61.81,63.05,64.27,65.49,57.6,67.89,64.9,70.21,71.34,70.2,77.1,78.8,80.9,80.9,80.7,82,81.9,82.7,82.9,84.7,85.3,85.4,86,85.5,84.2
SAS,South Asia,40.57,42.35,43.87,47.56,47.13,48.87,50.67,51.94,53.73,57.26,57.12,54.77,60.44,62.08,62.74,65.57,67.08,69.01,70.64,74.03,75.12,69.33,79.35,79.32,81.45,86.51,85.57
TSA,South Asia (IDA & IBRD),40.57,42.35,43.87,47.56,47.13,48.87,50.67,51.94,53.73,57.26,57.12,54.77,60.44,62.08,62.74,65.57,67.08,69.01,70.64,74.03,75.12,69.33,79.35,79.32,81.45,86.51,85.57
CSA,South Asia (IFC classification),,,,,,,,,,,,,,,,,,,,,,,,,,,
SSD,South Sudan,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.16,0.5,1.02,3,1.5,3.92,4.91,5.92,6.92,7.94,8.95
ESP,Spain,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
LKA,Sri Lanka,52.94,54.64,56.34,58.04,59.73,61.41,63.09,64.74,66.38,67.99,69.59,63.6,80.7,74.28,75.83,77.4,78.97,80,82.17,83.81,85.3,87.76,88.81,90.2,92.19,93.89,95.59
KNA,St. Kitts and Nevis,87.54,88.13,88.71,89.3,89.87,90.44,91,91.54,92.06,92.56,93.03,93.53,93.94,94.38,94.82,95.27,95.72,96.2,96.7,97.22,97.75,98.31,98.86,99.37,99.74,99.93,100
LCA,St. Lucia,83.72,84.32,84.93,85.52,86.11,86.7,87.27,87.82,88.36,88.87,89.37,89.9,90.3,90.76,91.21,91.67,92.15,92.64,93.15,93.68,94.2,94.8,95.34,95.97,96.57,97.16,97.76
MAF,St. Martin (French part),41.98,43.19,44.41,45.62,46.82,48.02,49.2,50.37,51.52,52.65,53.76,54.85,55.92,56.99,58.06,59.13,60.22,61.32,62.45,63.6,64.35,65.94,67.14,68.34,69.55,70.76,71.97
VCT,St. Vincent and the Grenadines,66.05,66.8,68.92,70.35,71.78,73.19,74.59,75.98,77.35,78.7,80.03,82.41,82.63,83.91,85.2,86.5,87.8,88.79,90.47,91.84,93.22,94.62,96.03,97.46,98.6,99.46,100
SSA,Sub-Saharan Africa,15.93,17.47,18.36,19.13,19.62,20.74,21.15,22.57,23.37,25,25.56,25.91,27.08,29.16,28.89,29.11,30.34,32.03,31.95,32.47,32.61,34.86,35.76,36.52,37.75,38.45,42.81
SSF,Sub-Saharan Africa (all income levels),15.94,17.48,18.36,19.14,19.63,20.75,21.16,22.58,23.37,25.01,25.57,25.92,27.08,29.17,28.9,29.12,30.35,32.04,31.96,32.48,32.62,34.87,35.77,36.53,37.76,38.46,42.81
SXN,SUB-SAHARAN AFRICA (excl. Nigeria),,,,,,,,,,,,,,,,,,,,,,,,,,,
TSS,Sub-Saharan Africa (IDA & IBRD),15.94,17.48,18.36,19.14,19.63,20.75,21.16,22.58,23.37,25.01,25.57,25.92,27.08,29.17,28.9,29.12,30.35,32.04,31.96,32.48,32.62,34.87,35.77,36.53,37.76,38.46,42.81
CAA,Sub-Saharan Africa (IFC classification),,,,,,,,,,,,,,,,,,,,,,,,,,,
SDN,Sudan,32.8,27.06,27.58,28.1,28.61,29.11,29.61,30.08,30.54,30.98,23,31.79,32.17,32.55,32.92,33.3,33.7,34.11,34.55,29,35.48,35.96,36.46,36.97,44.9,38.01,38.53
SUR,Suriname,100,100,100,100,99.99,99.92,99.71,99.31,98.74,99.62,97.44,96.75,96.04,95.33,94.62,93.92,91.02,92.55,91.89,91.26,91.2,90.05,89.46,88.89,88.31,87.74,87.18
SWZ,Swaziland,0.01,0.42,1.45,3,5.79,8.57,11.34,14.09,16.83,19.54,22.23,26.9,27.56,30.21,32.87,35.53,35.2,40.89,43.6,46.33,45.55,51.84,54.62,57.41,65,62.99,65.79
SWE,Sweden,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CHE,Switzerland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
SYR,Syrian Arab Republic,80.55,81.39,82.23,83.07,83.91,84.73,85.55,86.34,87.12,87.88,88.62,89.33,86.6,90.73,91.43,92.13,99.51,93.58,94.34,95.12,92.7,96.72,97.54,98.36,99.09,99.64,100
TWN,"Taiwan, China",,,,,,,,,,,,,,,,,,,,,,,,,,,
TJK,Tajikistan,96.6,96.82,97.04,97.25,97.46,97.66,97.85,98.01,98.16,97,98.47,98.5,99,100,98.73,99.3,98.91,99.02,99.15,99,99.46,99.64,99.1,99.92,99.98,100,100
TZA,Tanzania,2.48,3.23,6.8,4.73,5.47,6.2,9.4,7.63,8.31,8,9.62,10.24,10.85,11.1,11.4,12.67,13.3,13.94,11.5,11.2,14.8,14.2,15.3,16.4,18.91,18.5,32.8
THA,Thailand,75.9,77.07,78.23,79.39,80.55,81.7,82.84,83.96,85.06,86.14,82.1,88.23,89.26,90.28,91.3,92.33,99.15,94.42,95.5,98.96,99.7,98.72,99.11,99.86,99.98,99.6,100
TLS,Timor-Leste,0.01,0.09,0.47,1.52,3.12,5.91,8.69,11.46,14.21,16.93,19.63,25.6,24.99,27.7,30.32,32.99,35.68,36.6,41.1,43.84,38,49.39,52.17,54.97,57.78,67.28,63.39
TGO,Togo,0.01,0.94,2.85,4.75,6.64,8.52,10.4,12.25,15.3,15.91,16.96,19.48,21.24,23,24.76,26.52,27.9,30.09,31.9,33.74,30.79,39.7,39.34,41.23,45.7,45.03,46.93
TON,Tonga,77.8,78.6,79.4,80.19,80,81.76,82.53,83.28,84.02,84.73,85.42,86.09,86.75,87.4,88.05,88.71,92.3,90.07,90.78,91.51,92.26,92.18,92.8,94.59,95.38,96.18,97.02
TTO,Trinidad and Tobago,82.7,83.62,84.54,85.45,86.36,87.26,88.15,89.02,89.87,90.7,91.29,92.3,93.08,93.85,94.62,95.4,96.19,97,97.83,99,99.3,99.74,99.94,99.99,100,100,100
TUN,Tunisia,87.99,88.67,89.34,90.01,86.8,88.7,90.4,92,93.2,94.2,94.8,97.3,97.8,98.4,99,99.3,99.4,99.4,99.4,99.5,99.5,99.5,99.5,99.7,99.8,100,100
TUR,Turkey,88.78,89.42,90.05,90.68,91.3,91.92,92.52,93.11,93.68,94.23,94.75,95.26,95.75,96.24,96.73,97.22,97.73,98.27,98.81,99.31,100,99.91,99.99,100,100,100,100
TKM,Turkmenistan,98.61,98.75,98.88,99.01,99.14,99.25,99.36,99.44,99.51,99.56,99.6,99.6,99.6,99.6,99.6,99.6,99.84,99.64,99.68,99.75,100,99.91,99.96,99.99,100,100,100
TCA,Turks and Caicos Islands,88.7,90.5,90.78,91.04,91.31,91.56,91.8,92.02,92.23,92.42,95.6,92.72,92.86,92.98,93.11,93.24,93.38,93.54,93.73,93.93,94.15,94.39,93.1,94.9,95.16,95.43,95.7
TUV,Tuvalu,90.7,91.1,91.5,91.89,92.28,92.65,93.02,93.37,93.7,94.01,94.3,94.57,94.63,95.08,95.33,95.59,95.85,96.7,96.45,96.78,97.13,97.49,97.67,98.25,98.64,99.03,99.43
UGA,Uganda,1.27,5.6,2.77,3.51,4.26,6.8,5.71,6.41,7.1,7.76,8.4,8.6,7.8,10.24,10.85,8.9,9,12.72,13.38,10,14.77,14.6,16.21,13.9,20.4,18.5,26.7
UKR,Ukraine,98,98.18,98.35,98.52,98.69,98.84,98.98,99.11,99.22,99.31,99.38,99.43,99.47,99.51,99.54,99.89,99.63,99.8,99.78,99.87,99.95,99.99,99.87,100,100,100,100
ARE,United Arab Emirates,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
GBR,United Kingdom,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
USA,United States,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
UMC,Upper middle income,91.15,91.71,92.02,92.49,92.96,93.29,93.61,94.17,94.48,94.95,95.14,95.54,96.05,96.3,96.61,96.93,97.42,97.57,97.95,98.32,98.78,98.87,99.06,99.21,99.24,99.27,99.38
URY,Uruguay,96.29,96.5,96.71,96.92,97.12,97.31,97.49,97.65,97.8,97.92,98.01,98.09,98.17,98.24,98.31,98.38,98.51,98.69,98.78,98.83,98.99,99.17,99.35,99.61,99.66,99.71,100
UZB,Uzbekistan,98.41,98.57,98.73,98.89,99.03,99.17,99.6,99.41,99.51,99.58,99.63,99.67,99.7,99.71,99.73,99.76,99.49,99.84,99.9,99.96,99.99,100,100,100,100,100,100
