country_code,country_name,regime_type,material_footprint,doctors
AFG,Afghanistan,revolutionary,2.2919800736782046,0.077
AGO,Angola,revolutionary,3.4234252291945015,0.059
ALB,Albania,socialist,6.337473829852422,1.3262
ARE,United Arab Emirates,capitalist_periphery,146.20661523181084,1.0105
ARG,Argentina,capitalist_periphery,14.346697034919034,2.419
AUS,Australia,capitalist_core,34.45991640723018,1.75
AUT,Austria,capitalist_core,21.336839576583763,1.52
BDI,Burundi,capitalist_periphery,3.2731543983605844,0.0295
BEL,Belgium,capitalist_core,24.196661796921216,2.327272727
BEN,Benin,revolutionary,3.5695894935187824,0.0665
BFA,Burkina Faso,capitalist_periphery,3.1402177343843105,0.018
BGD,Bangladesh,capitalist_periphery,1.4255173004084571,0.137
BGR,Bulgaria,socialist,9.572572398632326,2.471636364
BHR,Bahrain,capitalist_periphery,29.60222930174319,1.153
BLZ,Belize,capitalist_periphery,25.704643224594896,0.272
BOL,Bolivia,capitalist_periphery,7.82626667062397,0.57
BRA,Brazil,capitalist_periphery,8.910157637484838,0.94625
BTN,Bhutan,capitalist_periphery,11.47989169230658,0.1135
BWA,Botswana,capitalist_periphery,18.636175633002033,0.1335
CAF,Central African Republic,capitalist_periphery,2.957527346918367,0.043333333
CAN,Canada,capitalist_core,33.67961623644355,1.818181818
CHE,Switzerland,capitalist_core,30.208562238517672,2.381818182
CHL,Chile,capitalist_periphery,5.796214463824952,0.6665
CHN,China,socialist,3.193644909152589,1.16375
CIV,Cote d'Ivoire,capitalist_periphery,5.1155804463603625,0.071
CMR,Cameroon,capitalist_periphery,2.286363012534243,0.0715
COD,"Congo, DRC",capitalist_periphery,3.3743542720156814,0.0545
COG,Congo,revolutionary,6.3266068231450925,0.181666667
COL,Colombia,capitalist_periphery,8.375905683500374,0.478
CRI,Costa Rica,capitalist_periphery,14.685615953930728,0.8345
CSK,Czechoslovakia,socialist,12.536623268830011,2.1
CUB,Cuba,socialist,11.52473814498615,1.637
CYP,Cyprus,capitalist_periphery,27.637030401965898,0.973
DZA,Algeria,capitalist_periphery,5.346189476156298,0.4035
ECU,Ecuador,capitalist_periphery,5.64559636312735,0.494
EGY,Egypt,capitalist_periphery,3.2536061608157922,1.0825
ETH,Ethiopia,revolutionary,3.416834897596761,0.01175
FRA,France,capitalist_core,16.793391896894832,1.945454545
GAB,Gabon,capitalist_periphery,13.504874368634669,0.469333333
GBR,United Kingdom,capitalist_core,17.71803666837235,1.2
GHA,Ghana,capitalist_periphery,2.6067374643661267,0.0725
GIN,Guinea,capitalist_periphery,3.8311149128249675,0.023333333
GMB,The Gambia,capitalist_periphery,12.255340154532611,0.0605
GRC,Greece,capitalist_periphery,12.655331388457604,2.454545455
GTM,Guatemala,capitalist_periphery,2.7143771012277655,0.47
HKG,Hong Kong,capitalist_periphery,34.045656678608296,0.749
HND,Honduras,capitalist_periphery,3.993470738704064,0.40575
HTI,Haiti,capitalist_periphery,3.7159873959609224,0.11725
HUN,Hungary,socialist,12.809473481013653,2.372727273
IDN,Indonesia,capitalist_periphery,2.641576499099904,0.077
IND,India,capitalist_periphery,2.7902089673991326,0.31025
IRN,Iran,capitalist_periphery,8.094742533085387,0.338
IRQ,Iraq,capitalist_periphery,5.1943614702950045,0.5655
ISL,Iceland,capitalist_core,50.12074574091185,2.136363636
ISR,Israel,capitalist_periphery,23.496283747987793,2.694
JAM,Jamaica,capitalist_periphery,8.3017108123659,0.403
JOR,Jordan,capitalist_periphery,13.234896983644905,0.913
JPN,Japan,capitalist_core,18.6080802965509,1.228571429
KEN,Kenya,capitalist_periphery,4.263876577500562,0.125
KHM,Cambodia,revolutionary,3.5707806664610726,0.058
KOR,South Korea,capitalist_periphery,7.947120753977241,0.54
KWT,Kuwait,capitalist_periphery,127.54988707061418,1.576666667
LAO,Laos,revolutionary,4.361095156712373,0.39
LBN,Lebanon,capitalist_periphery,8.76131350916585,1.554
LBR,Liberia,capitalist_periphery,2.4621296850903485,0.097666667
LBY,Libya,capitalist_periphery,13.567764024117013,1.492
LKA,Sri Lanka,capitalist_periphery,1.5304221579858028,0.1545
LUX,Luxembourg,capitalist_core,31.34072226973935,1.554545455
MAR,Morocco,capitalist_periphery,3.9445421412211927,0.064666667
MDG,Madagascar,revolutionary,3.652132624709118,0.098666667
MLI,Mali,capitalist_periphery,2.301047792590852,0.03475
MLT,Malta,capitalist_periphery,42.40389569624415,1.2735
MMR,Myanmar,capitalist_periphery,2.2709924848232776,0.2365
MNG,Mongolia,socialist,17.359561120320286,1.729
MOZ,Mozambique,revolutionary,3.5070626231903193,0.02475
MRT,Mauritania,capitalist_periphery,8.510259225075762,0.08
MWI,Malawi,capitalist_periphery,2.7593785186844344,0.053
MYS,Malaysia,capitalist_periphery,7.105703521760238,0.26475
