country_code,country_name,regime_type,material_footprint,death_rate_malnutrition
AFG,Afghanistan,revolutionary,2.531280897024631,0.01104395427
AGO,Angola,revolutionary,3.0720888698578976,0.1013155943
ALB,Albania,socialist,6.451641834115503,9.03991675e-4
ARE,United Arab Emirates,capitalist_periphery,107.31196560629735,3.55504737e-4
ARG,Argentina,capitalist_periphery,13.442373220279805,0.004053264866
AUS,Australia,capitalist_core,34.188619625538124,2.6668561e-4
AUT,Austria,capitalist_core,21.81319638298739,1.2045851e-5
BDI,Burundi,capitalist_periphery,3.2145046984664636,0.06310079648
BEL,Belgium,capitalist_core,24.707135277896864,3.25691511e-4
BEN,Benin,revolutionary,3.775385717826355,0.03771041614
BFA,Burkina Faso,capitalist_periphery,3.193559689057531,0.02939030976
BGD,Bangladesh,capitalist_periphery,1.3816602035298415,0.05635677359
BGR,Bulgaria,socialist,10.71754150029417,1.9521654e-5
BHR,Bahrain,capitalist_periphery,29.227264450290683,0.00259390225799999
BLZ,Belize,capitalist_periphery,26.503686923536442,0.01001939485
BOL,Bolivia,capitalist_periphery,7.733642583878214,0.03179001782
BRA,Brazil,capitalist_periphery,10.172248027728383,0.0130377133
BTN,Bhutan,capitalist_periphery,11.176483582100696,0.008455931368
BWA,Botswana,capitalist_periphery,18.81386145739588,0.01590232028
CAF,Central African Republic,capitalist_periphery,3.2298068352485303,0.03144445128
CAN,Canada,capitalist_core,33.451551735238894,5.32474892e-4
CHE,Switzerland,capitalist_core,30.676705402291386,1.4677776e-4
CHL,Chile,capitalist_periphery,5.955720196530679,0.002102230424
CHN,China,socialist,3.9494595087403708,0.005071966892
CIV,Cote d'Ivoire,capitalist_periphery,4.62657250381042,0.01529071748
CMR,Cameroon,capitalist_periphery,2.2151995452792095,0.01465674469
COD,"Congo, DRC",capitalist_periphery,3.221848600195701,0.02949534606
COG,Congo,revolutionary,6.309794725435405,0.02107924205
COL,Colombia,capitalist_periphery,8.21662344240591,0.007412670725
CRI,Costa Rica,capitalist_periphery,13.91273673417218,0.001396894563
CSK,Czechoslovakia,socialist,12.671985374726033,7.2787864e-5
CUB,Cuba,socialist,12.524758151140505,5.21466295e-4
CYP,Cyprus,capitalist_periphery,29.62448810637558,6.29699236e-4
DEU,Germany,capitalist_core,22.53950132512111,8.5539426e-5
DNK,Denmark,capitalist_core,19.571544992162867,7.887179800000001e-5
DZA,Algeria,capitalist_periphery,5.79824819012135,0.002047734008
ECU,Ecuador,capitalist_periphery,5.9664626945951245,0.01545019076
EGY,Egypt,capitalist_periphery,3.703656119923976,0.003925011395
ERI,Eritrea,revolutionary,1.1292828210580954,0.16350682760000002
ESP,Spain,capitalist_core,14.724579915507631,2.48793916e-4
ETH,Ethiopia,revolutionary,3.2516662138357915,0.08303908801
FIN,Finland,capitalist_core,23.52061637627536,2.7527370999999997e-5
FRA,France,capitalist_core,16.584788319501097,0.002864509888
GAB,Gabon,capitalist_periphery,13.274045109000111,0.01558752517
GBR,United Kingdom,capitalist_core,18.40767789772211,1.01215979e-4
GHA,Ghana,capitalist_periphery,2.35907555865531,0.03193099785
GIN,Guinea,capitalist_periphery,3.7407928319881827,0.03918235638
GMB,The Gambia,capitalist_periphery,11.988886585909857,0.0228215297
GRC,Greece,capitalist_periphery,13.940377569034311,6.259375500000001e-5
GTM,Guatemala,capitalist_periphery,2.7145642584233274,0.1376443692
HND,Honduras,capitalist_periphery,3.8821402108699985,0.007482192929
HTI,Haiti,capitalist_periphery,3.8223424130544372,0.03085373481
HUN,Hungary,socialist,13.298277858283456,4.0580877e-5
IDN,Indonesia,capitalist_periphery,2.7777973253401407,0.02465525137
IND,India,capitalist_periphery,2.873018857919671,0.018849972
IRL,Ireland,capitalist_core,20.335206603713313,1.5008496e-4
IRN,Iran,capitalist_periphery,7.477175620601823,0.002110884515
IRQ,Iraq,capitalist_periphery,4.538910969956511,0.001772730622
ISL,Iceland,capitalist_core,55.213971044885106,2.25504344e-4
ISR,Israel,capitalist_periphery,20.863370644016772,1.61483685e-4
ITA,Italy,capitalist_core,17.001441671263127,3.4507912e-5
JAM,Jamaica,capitalist_periphery,8.757980756377272,0.008091037882
JOR,Jordan,capitalist_periphery,13.649610673798819,8.27481784e-4
JPN,Japan,capitalist_core,19.31439347278527,2.03051733e-4
KEN,Kenya,capitalist_periphery,4.0866634201548475,0.03671195294999999
KHM,Cambodia,revolutionary,3.500238818220989,0.05019391952
KOR,South Korea,capitalist_periphery,8.98130807118385,0.001837952631
KWT,Kuwait,capitalist_periphery,89.44048990385876,6.2400657e-5
LAO,Laos,revolutionary,4.451342438105968,0.03310393659
LBN,Lebanon,capitalist_periphery,8.798216903794554,5.06812106e-4
LBR,Liberia,capitalist_periphery,2.4397407733154535,0.04827475219
LBY,Libya,capitalist_periphery,11.75620773790051,5.70782978e-4
LKA,Sri Lanka,capitalist_periphery,1.6225178134497575,0.005028742963
LUX,Luxembourg,capitalist_core,32.940246180498384,7.22153045e-4
MAR,Morocco,capitalist_periphery,3.8023763073666816,0.002041815173
MDG,Madagascar,revolutionary,3.464940540482834,0.08580177931
MEX,Mexico,capitalist_periphery,8.207307066185503,0.02231831645
MLI,Mali,capitalist_periphery,2.3689776963439573,0.05790411514
MLT,Malta,capitalist_periphery,46.95816903866439,9.0734151e-5
MMR,Myanmar,capitalist_periphery,2.3540156421538403,0.02034270739
MNG,Mongolia,socialist,16.301578060384287,1.15943871e-4
MOZ,Mozambique,revolutionary,3.1708055847670527,0.06775077325
MRT,Mauritania,capitalist_periphery,8.131698779982836,0.05217610062
MWI,Malawi,capitalist_periphery,2.5295939057701484,0.05729150792
MYS,Malaysia,capitalist_periphery,8.120355271097955,0.00162907647
NAM,Namibia,capitalist_periphery,14.708478146842662,0.02483872439
NER,Niger,capitalist_periphery,5.237868480780684,0.03811486948999999
NGA,Nigeria,capitalist_periphery,1.455106821356274,0.007651752901
NIC,Nicaragua,revolutionary,4.845637786030881,0.009535894726
NLD,Netherlands,capitalist_core,24.835293565164406,3.98536266e-4
NOR,Norway,capitalist_core,26.439052904874494,1.10918223e-4
NPL,Nepal,capitalist_periphery,1.3698859386715017,0.04127403792
NZL,New Zealand,capitalist_core,27.872697455906223,2.01241847e-4
OMN,Oman,capitalist_periphery,19.097845744056723,7.71477357e-4
PAK,Pakistan,capitalist_periphery,2.535827200717724,0.009051250878
PAN,Panama,capitalist_periphery,8.84295048677202,0.004487762377
PER,Peru,capitalist_periphery,6.0800255597224195,0.01578590471
PHL,Philippines,capitalist_periphery,3.9863247105877706,0.01348399567
PNG,Papua New Guinea,capitalist_periphery,3.8970549738124856,0.008001301844
POL,Poland,socialist,15.522440652304436,7.6165993e-5
PRK,North Korea,socialist,1.4780834156281133,0.007735571452
PRT,Portugal,capitalist_core,10.74687341568638,9.54553278e-4
PRY,Paraguay,capitalist_periphery,14.353859992567886,0.00330167452699999
ROU,Romania,socialist,15.023850137309205,1.43201726e-4
RWA,Rwanda,capitalist_periphery,2.532189460918594,0.04312115276
SAU,Saudi Arabia,capitalist_periphery,21.831568722966352,0.002469830777
SDN,Sudan,capitalist_periphery,3.1780615402019188,0.01354328385
SEN,Senegal,capitalist_periphery,4.383016067650328,0.01513704873
SGP,Singapore,capitalist_periphery,31.835567932978876,1.6657478e-4
SLE,Sierra Leone,capitalist_periphery,2.2187037265665235,0.04231818316999999
SLV,El Salvador,capitalist_periphery,4.605958193620304,0.00972111349799999
SOM,Somalia,revolutionary,8.050999352654518,0.1054110785
SUN,USSR,socialist,18.957663910098393,2.6923846e-4
SWE,Sweden,capitalist_core,15.580234454560438,2.66908023e-4
SYR,Syria,capitalist_periphery,3.548980209101995,0.002696941666
TCD,Chad,capitalist_periphery,4.828560837675628,0.06800424168000001
TGO,Togo,capitalist_periphery,4.750441100772666,0.02057187209
THA,Thailand,capitalist_periphery,4.994512582136701,0.005639225401
TUN,Tunisia,capitalist_periphery,7.156591532778215,7.72200809e-4
TUR,Turkey,capitalist_periphery,7.581753643422684,0.001732714296
TZA,Tanzania,capitalist_periphery,2.2438553401273165,0.03952390993
UGA,Uganda,capitalist_periphery,2.7208621615314628,0.03769185908
URY,Uruguay,capitalist_periphery,13.22288066044659,0.00228703871
USA,United States,capitalist_core,27.686953196993283,7.194142890000001e-4
VEN,Venezuela,capitalist_periphery,8.23813399885156,0.004436238623
VNM,Vietnam,socialist,1.803648037306538,0.001041719531
YUG,Yugoslavia,socialist,12.907058529253671,6.8216689e-5
ZAF,South Africa,capitalist_periphery,13.026226702828994,0.01356524794
ZMB,Zambia,capitalist_periphery,3.5865324320138265,0.04461419041
ZWE,Zimbabwe,revolutionary,5.405289676239092,0.02699999538
