country_code,country_name,regime_type,material_footprint,adolescent_pregnancies
AFG,Afghanistan,revolutionary,2.2919800736782046,13.6482
AGO,Angola,revolutionary,3.4234252291945015,16.8278
ALB,Albania,socialist,6.337473829852422,2.1862
ARE,United Arab Emirates,capitalist_periphery,146.20661523181084,12.2398
ARG,Argentina,capitalist_periphery,14.346697034919034,7.678400000000001
AUS,Australia,capitalist_core,34.45991640723018,2.7085
AUT,Austria,capitalist_core,21.336839576583763,3.4383000000000004
BDI,Burundi,capitalist_periphery,3.2731543983605844,9.2768
BEL,Belgium,capitalist_core,24.196661796921216,2.0657
BEN,Benin,revolutionary,3.5695894935187824,13.6972
BFA,Burkina Faso,capitalist_periphery,3.1402177343843105,15.037200000000002
BGD,Bangladesh,capitalist_periphery,1.4255173004084571,21.0858
BGR,Bulgaria,socialist,9.572572398632326,7.971299999999999
BHR,Bahrain,capitalist_periphery,29.60222930174319,5.6457
BLZ,Belize,capitalist_periphery,25.704643224594896,14.7425
BOL,Bolivia,capitalist_periphery,7.82626667062397,10.3283
BRA,Brazil,capitalist_periphery,8.910157637484838,7.941
BTN,Bhutan,capitalist_periphery,11.47989169230658,12.4172
BWA,Botswana,capitalist_periphery,18.636175633002033,14.3517
CAF,Central African Republic,capitalist_periphery,2.957527346918367,16.2452
CAN,Canada,capitalist_core,33.67961623644355,2.8683
CHE,Switzerland,capitalist_core,30.208562238517672,0.9907
CHL,Chile,capitalist_periphery,5.796214463824952,7.578
CHN,China,socialist,3.193644909152589,1.2749
CIV,Cote d'Ivoire,capitalist_periphery,5.1155804463603625,20.4076
CMR,Cameroon,capitalist_periphery,2.286363012534243,18.6987
COD,"Congo, DRC",capitalist_periphery,3.3743542720156814,13.7499
COG,Congo,revolutionary,6.3266068231450925,14.4012
COL,Colombia,capitalist_periphery,8.375905683500374,8.9664
CRI,Costa Rica,capitalist_periphery,14.685615953930728,9.9665
CSK,Czechoslovakia,socialist,12.536623268830011,4.887940562953121
CUB,Cuba,socialist,11.52473814498615,7.784000000000001
CYP,Cyprus,capitalist_periphery,27.637030401965898,3.2167000000000003
DEU,Germany,capitalist_core,22.54431518237272,2.6565000000000003
