country_code,country_name,regime_type,co2,death_rate_malnutrition
AFG,Afghanistan,revolutionary,0.21955848269372885,0.01104395426646761
AGO,Angola,revolutionary,1.09344333405558,0.1013155942622748
ALB,Albania,socialist,2.145855243279796,9.039916746985436e-4
ARE,United Arab Emirates,capitalist_periphery,30.931217994130517,3.5550473685940143e-4
ARG,Argentina,capitalist_periphery,3.4167990421631065,0.00405326486582764
AUS,Australia,capitalist_core,13.049774206288742,2.666856096655143e-4
AUT,Austria,capitalist_core,8.682374832993617,1.20458512975887e-5
BDI,Burundi,capitalist_periphery,0.050385660085581825,0.06310079647635382
BEL,Belgium,capitalist_core,11.368192166976597,3.256915107586201e-4
BEN,Benin,revolutionary,0.11548617685313706,0.03771041613936308
BFA,Burkina Faso,capitalist_periphery,0.07313721560250414,0.02939030975557902
BGD,Bangladesh,capitalist_periphery,0.08989977123658982,0.05635677358966338
BGR,Bulgaria,socialist,6.109022617359032,1.95216537368029e-5
BHR,Bahrain,capitalist_periphery,15.180200416053317,0.00259390225796395
BLZ,Belize,capitalist_periphery,1.4665714711836026,0.01001939485285251
BOL,Bolivia,capitalist_periphery,0.6685396098665152,0.03179001781942505
BRA,Brazil,capitalist_periphery,1.2974770556177084,0.01303771330440488
BRB,Barbados,capitalist_periphery,3.2119244595057506,0.00293030928506184
BTN,Bhutan,capitalist_periphery,0.1111536182107583,0.00845593136765819
BWA,Botswana,capitalist_periphery,1.0303827848502731,0.01590232027552841
CAF,Central African Republic,capitalist_periphery,0.10461597205380721,0.03144445127802961
CAN,Canada,capitalist_core,16.54788645123748,5.324748915027271e-4
CHE,Switzerland,capitalist_core,10.346848977046296,1.467777604684948e-4
CHL,Chile,capitalist_periphery,2.1745054730179305,0.00210223042379645
CHN,China,socialist,1.1644335423835626,0.0050719668923121
CIV,Cote d'Ivoire,capitalist_periphery,0.46320385307189493,0.01529071747802759
CMR,Cameroon,capitalist_periphery,0.3234902241490379,0.01465674468867178
COD,"Congo, DRC",capitalist_periphery,0.16422238362881925,0.02949534605749996
COG,Congo,revolutionary,1.3971115912418768,0.02107924204943502
COL,Colombia,capitalist_periphery,1.6149812374688255,0.00741267072510939
CPV,Cape Verde,capitalist_periphery,0.6647789770299708,0.00952974260287963
CRI,Costa Rica,capitalist_periphery,1.0962944770165794,0.00139689456292464
CSK,Czechoslovakia,socialist,13.004789137169222,7.278786415773085e-5
CUB,Cuba,socialist,2.8185037161773985,5.214662951003746e-4
CYP,Cyprus,capitalist_periphery,4.6700697811428284,6.296992355683442e-4
DEU,Germany,capitalist_core,14.203669507954707,8.55394263437934e-5
