country_code,country_name,regime_type,material_footprint,child_mortality
AFG,Afghanistan,revolutionary,2.2919800736782046,25.8406
AGO,Angola,revolutionary,3.4234252291945015,24.1342
ALB,Albania,socialist,6.337473829852422,6.2587
ARE,United Arab Emirates,capitalist_periphery,146.20661523181084,3.5488999999999997
ARG,Argentina,capitalist_periphery,14.346697034919034,4.1478
AUS,Australia,capitalist_core,34.45991640723018,1.2764
AUT,Austria,capitalist_core,21.336839576583763,1.7323
BDI,Burundi,capitalist_periphery,3.2731543983605844,22.5122
BEL,Belgium,capitalist_core,24.196661796921216,1.4691
BEN,Benin,revolutionary,3.5695894935187824,21.2811
BFA,Burkina Faso,capitalist_periphery,3.1402177343843105,24.1861
BGD,Bangladesh,capitalist_periphery,1.4255173004084571,20.5738
BGR,Bulgaria,socialist,9.572572398632326,2.4006
BHR,Bahrain,capitalist_periphery,29.60222930174319,3.2442
BLZ,Belize,capitalist_periphery,25.704643224594896,6.4666
BOL,Bolivia,capitalist_periphery,7.82626667062397,19.5588
BRA,Brazil,capitalist_periphery,8.910157637484838,9.6203
BTN,Bhutan,capitalist_periphery,11.47989169230658,19.4435
BWA,Botswana,capitalist_periphery,18.636175633002033,7.231199999999999
CAF,Central African Republic,capitalist_periphery,2.957527346918367,18.5549
CAN,Canada,capitalist_core,33.67961623644355,1.2877
CHE,Switzerland,capitalist_core,30.208562238517672,1.1015
CHL,Chile,capitalist_periphery,5.796214463824952,3.4706
CHN,China,socialist,3.193644909152589,6.2731
CIV,Cote d'Ivoire,capitalist_periphery,5.1155804463603625,16.913999999999998
CMR,Cameroon,capitalist_periphery,2.286363012534243,17.8986
COD,"Congo, DRC",capitalist_periphery,3.3743542720156814,21.1821
COG,Congo,revolutionary,6.3266068231450925,10.7014
COL,Colombia,capitalist_periphery,8.375905683500374,5.8218000000000005
CRI,Costa Rica,capitalist_periphery,14.685615953930728,3.3349
CSK,Czechoslovakia,socialist,12.536623268830011,1.977179595
CUB,Cuba,socialist,11.52473814498615,2.2127
CYP,Cyprus,capitalist_periphery,27.637030401965898,1.8751
DEU,Germany,capitalist_core,22.54431518237272,1.5242
