country_code,country_name,regime_type,co2,electricity_access
AFG,Afghanistan,revolutionary,0.21955848269372885,0.01
AGO,Angola,revolutionary,1.09344333405558,11.39780807
ALB,Albania,socialist,2.145855243279796,100
ARE,United Arab Emirates,capitalist_periphery,30.931217994130517,100
ARG,Argentina,capitalist_periphery,3.4167990421631065,90.64082336
AUS,Australia,capitalist_core,13.049774206288742,100
AUT,Austria,capitalist_core,8.682374832993617,100
BDI,Burundi,capitalist_periphery,0.050385660085581825,0.348627061
BEL,Belgium,capitalist_core,11.368192166976597,100
BEN,Benin,revolutionary,0.11548617685313706,7.311272144
BFA,Burkina Faso,capitalist_periphery,0.07313721560250414,2.610557318
BGD,Bangladesh,capitalist_periphery,0.08989977123658982,8.544374466
BGR,Bulgaria,socialist,6.109022617359032,100
BLZ,Belize,capitalist_periphery,1.4665714711836026,87.96473694
BOL,Bolivia,capitalist_periphery,0.6685396098665152,56.38216782
BRA,Brazil,capitalist_periphery,1.2974770556177084,87.475116
BTN,Bhutan,capitalist_periphery,0.1111536182107583,0.01
BWA,Botswana,capitalist_periphery,1.0303827848502731,6.043880463
CAF,Central African Republic,capitalist_periphery,0.10461597205380721,0.01
CAN,Canada,capitalist_core,16.54788645123748,100
CHE,Switzerland,capitalist_core,10.346848977046296,100
CHL,Chile,capitalist_periphery,2.1745054730179305,92.257427
CHN,China,socialist,1.1644335423835626,92.21601105
CIV,Cote d'Ivoire,capitalist_periphery,0.46320385307189493,37.66371155
CMR,Cameroon,capitalist_periphery,0.3234902241490379,30.12971687
COD,"Congo, DRC",capitalist_periphery,0.16422238362881925,0.01
COG,Congo,revolutionary,1.3971115912418768,0.01
COL,Colombia,capitalist_periphery,1.6149812374688255,89.9
CPV,Cape Verde,capitalist_periphery,0.6647789770299708,32.55810165
CRI,Costa Rica,capitalist_periphery,1.0962944770165794,97.47466278
CSK,Czechoslovakia,socialist,13.004789137169222,100
CUB,Cuba,socialist,2.8185037161773985,92.52192688
CYP,Cyprus,capitalist_periphery,4.6700697811428284,100
DEU,Germany,capitalist_core,14.203669507954707,100
DNK,Denmark,capitalist_core,10.800552943985116,100
DOM,Dominican Republic,capitalist_periphery,0.9272813815819568,79.59869385
DZA,Algeria,capitalist_periphery,1.7843444128483867,98.27137756
ECU,Ecuador,capitalist_periphery,1.0375115214527637,88.94174957
EGY,Egypt,capitalist_periphery,1.0213282885613708,93.95646667
ERI,Eritrea,revolutionary,0.25725197053078264,17.8409462
ESP,Spain,capitalist_core,4.971284991655424,100
FIN,Finland,capitalist_core,9.452805704749224,100
FJI,Fiji,capitalist_periphery,1.1392744823673548,60.46178818
FRA,France,capitalist_core,9.837338982035238,100
GAB,Gabon,capitalist_periphery,5.223346791383549,64.61288452
GBR,United Kingdom,capitalist_core,11.984606114501743,100
GHA,Ghana,capitalist_periphery,0.319488366409785,23.53626251
GIN,Guinea,capitalist_periphery,0.21428597659163104,6.429067135
GMB,The Gambia,capitalist_periphery,0.3451551156207123,16.23235321
GRC,Greece,capitalist_periphery,5.3036290128346275,100
GTM,Guatemala,capitalist_periphery,0.507766414597565,60.18920135
HKG,Hong Kong,capitalist_periphery,11.361530472324995,100
HND,Honduras,capitalist_periphery,0.5485099849396616,54.74451828
HTI,Haiti,capitalist_periphery,0.15692100360869266,28.00139809
HUN,Hungary,socialist,6.658937763657013,100
IDN,Indonesia,capitalist_periphery,0.4815868604478165,61.70114517
IND,India,capitalist_periphery,0.438444646016065,43.29156113
IRL,Ireland,capitalist_core,6.49883787238562,100
IRN,Iran,capitalist_periphery,2.9816828722598454,95.57950592
IRQ,Iraq,capitalist_periphery,2.9629696513566954,93.48020935
ISL,Iceland,capitalist_core,11.788739143587783,100
ISR,Israel,capitalist_periphery,5.856829895101024,100
ITA,Italy,capitalist_core,6.432483217001442,100
JAM,Jamaica,capitalist_periphery,2.699558229463986,70.334586
JOR,Jordan,capitalist_periphery,2.4983188832156347,96.8
JPN,Japan,capitalist_core,8.206508739843475,100
KEN,Kenya,capitalist_periphery,0.3137877250424108,3.318389893
KHM,Cambodia,revolutionary,0.060948549916226565,0.01
KWT,Kuwait,capitalist_periphery,55.0713430959671,100
LAO,Laos,revolutionary,0.15665971947061627,15.30261421
LBN,Lebanon,capitalist_periphery,2.30771118836328,97.90869904
LBR,Liberia,capitalist_periphery,0.7602071759159393,0.01
LBY,Libya,capitalist_periphery,7.8463382866592575,99.83592987
LKA,Sri Lanka,capitalist_periphery,0.27934324824859585,52.93764114
LSO,Lesotho,capitalist_periphery,0.39138872303913913,0.01
LUX,Luxembourg,capitalist_core,33.87527860299476,100
MAR,Morocco,capitalist_periphery,0.6096098669892726,48.11626434
MDG,Madagascar,revolutionary,0.14388904421001353,9.571782112
MDV,Maldives,capitalist_periphery,0.2921229042481667,73.0881424
MEX,Mexico,capitalist_periphery,3.1459495796334465,94.26457214
MLI,Mali,capitalist_periphery,0.06349836527431812,0.01
MLT,Malta,capitalist_periphery,3.464423677816527,100
MMR,Myanmar,capitalist_periphery,0.13850157752414222,35.65203094
MNG,Mongolia,socialist,2.740206082251388,68.11283875
MOZ,Mozambique,revolutionary,0.4050659345466334,0.01
MRT,Mauritania,capitalist_periphery,0.5305273910681784,3.886186838
