country_code,country_name,regime_type,GDP_PPP,death_rate_sanitation
AFG,Afghanistan,revolutionary,1188.1290322580646,0.04516895250815817
AGO,Angola,revolutionary,1952.0967741935483,0.3720912607318214
ALB,Albania,socialist,3371.2258064516127,0.00393053773910992
ARE,United Arab Emirates,capitalist_periphery,36382.903225806454,0.00979612821018523
ARG,Argentina,capitalist_periphery,11292,0.00539505412149632
AUS,Australia,capitalist_core,20675.09677419355,3.203126905727096e-4
AUT,Austria,capitalist_core,18396.387096774193,1.4398819695599828e-4
BDI,Burundi,capitalist_periphery,900.1612903225806,0.2346681726744568
BEL,Belgium,capitalist_core,19350.483870967742,3.443804841118584e-4
BEN,Benin,revolutionary,1630.8387096774193,0.195137833195674
BFA,Burkina Faso,capitalist_periphery,1167.3225806451612,0.26650753626670287
BGD,Bangladesh,capitalist_periphery,912.1290322580645,0.17818598709885444
BGR,Bulgaria,socialist,8300.161290322581,0.00108222016292533
BHR,Bahrain,capitalist_periphery,6260.322580645161,0.0054045216421221
BOL,Bolivia,capitalist_periphery,3477.8387096774195,0.05543946896571566
BRA,Brazil,capitalist_periphery,6074.935483870968,0.03420802009587604
BRB,Barbados,capitalist_periphery,9960.09677419355,0.00496030840205299
BWA,Botswana,capitalist_periphery,1962.1290322580646,0.1409873932459293
CAF,Central African Republic,capitalist_periphery,1330.258064516129,0.33360784736293864
CAN,Canada,capitalist_core,22441.16129032258,2.819828316868862e-4
CHE,Switzerland,capitalist_core,25073.227809032258,2.897745353425143e-4
CHL,Chile,capitalist_periphery,8063.322580645161,0.00591784600527569
CHN,China,socialist,1770.3225806451612,0.01454534186305171
CIV,Cote d'Ivoire,capitalist_periphery,2719.8387096774195,0.14417973622089414
CMR,Cameroon,capitalist_periphery,1797.1612903225807,0.1961221627483676
COD,"Congo, DRC",capitalist_periphery,1084.225806451613,0.14776580611432807
COG,Congo,revolutionary,2977.8064516129034,0.18870177926949017
COL,Colombia,capitalist_periphery,5743.806451612903,0.0141802344243886
COM,Comoros,capitalist_periphery,991,0.17200590764507506
CPV,Cape Verde,capitalist_periphery,1444.6774193548388,0.08166797522688768
CRI,Costa Rica,capitalist_periphery,6415.870967741936,0.00657448880553256
CSK,Czechoslovakia,socialist,11327.354838709678,4.3433257530776914e-4
CUB,Cuba,socialist,3872.3548387096776,0.00739131529414968
CYP,Cyprus,capitalist_periphery,8163.645161290323,6.832455511408652e-4
DEU,Germany,capitalist_core,19457.16129032258,1.964975605639126e-4
DNK,Denmark,capitalist_core,22248,3.274544597693499e-4
