country_code,country_name,regime_type,material_footprint,female_labour
AFG,Afghanistan,revolutionary,2.531280897024631,16.86604478
AGO,Angola,revolutionary,3.0720888698578976,49.98131676
ALB,Albania,socialist,6.451641834115503,40.80567314
ARE,United Arab Emirates,capitalist_periphery,107.31196560629735,10.61195537
ARG,Argentina,capitalist_periphery,13.442373220279805,39.18227344
AUS,Australia,capitalist_core,34.188619625538124,41.39308651
AUT,Austria,capitalist_core,21.81319638298739,40.98235323
BDI,Burundi,capitalist_periphery,3.2145046984664636,51.88055791
BEL,Belgium,capitalist_core,24.707135277896864,39.00441975
BEN,Benin,revolutionary,3.775385717826355,40.9645704
BFA,Burkina Faso,capitalist_periphery,3.193559689057531,49.25469708
BGD,Bangladesh,capitalist_periphery,1.3816602035298415,21.74820403
BGR,Bulgaria,socialist,10.71754150029417,48.71618294
BHR,Bahrain,capitalist_periphery,29.227264450290683,16.71015138
BLZ,Belize,capitalist_periphery,26.503686923536442,28.41099535
BOL,Bolivia,capitalist_periphery,7.733642583878214,41.15516243
BRA,Brazil,capitalist_periphery,10.172248027728383,34.91391083
BTN,Bhutan,capitalist_periphery,11.176483582100696,38.65538932
BWA,Botswana,capitalist_periphery,18.81386145739588,41.69542486
CAF,Central African Republic,capitalist_periphery,3.2298068352485303,44.23950059
CAN,Canada,capitalist_core,33.451551735238894,44.31022381
CHE,Switzerland,capitalist_core,30.676705402291386,43.09328486
CHL,Chile,capitalist_periphery,5.955720196530679,30.12043826
CHN,China,socialist,3.9494595087403708,45.63394009
CIV,Cote d'Ivoire,capitalist_periphery,4.62657250381042,35.55851616
CMR,Cameroon,capitalist_periphery,2.2151995452792095,48.18164475
COD,"Congo, DRC",capitalist_periphery,3.221848600195701,50.51442851
COG,Congo,revolutionary,6.309794725435405,49.70446856
COL,Colombia,capitalist_periphery,8.21662344240591,38.75311449
CRI,Costa Rica,capitalist_periphery,13.91273673417218,28.56910116
CSK,Czechoslovakia,socialist,12.671985374726033,45.34496373660616
CUB,Cuba,socialist,12.524758151140505,35.52491291
CYP,Cyprus,capitalist_periphery,29.62448810637558,35.06754331
DEU,Germany,capitalist_core,22.53950132512111,41.04518285
DNK,Denmark,capitalist_core,19.571544992162867,46.09399579
DZA,Algeria,capitalist_periphery,5.79824819012135,12.23808135
ECU,Ecuador,capitalist_periphery,5.9664626945951245,37.58270543
EGY,Egypt,capitalist_periphery,3.703656119923976,23.9845408
ERI,Eritrea,revolutionary,1.1292828210580954,46.55549622
ESP,Spain,capitalist_core,14.724579915507631,34.54327769
ETH,Ethiopia,revolutionary,3.2516662138357915,43.69428212
FIN,Finland,capitalist_core,23.52061637627536,47.18387597
FRA,France,capitalist_core,16.584788319501097,43.38672797
