country_code,country_name,regime_type,material_footprint,hospital_beds
AFG,Afghanistan,revolutionary,2.2919800736782046,0.275599986
ALB,Albania,socialist,6.337473829852422,4.163916667166666
ARE,United Arab Emirates,capitalist_periphery,146.20661523181084,2.862299919
AUS,Australia,capitalist_core,34.45991640723018,11.936363567272728
AUT,Austria,capitalist_core,21.336839576583763,11.049999714999998
BDI,Burundi,capitalist_periphery,3.2731543983605844,1.123200059
BEL,Belgium,capitalist_core,24.196661796921216,9.25
BEN,Benin,revolutionary,3.5695894935187824,0.985233327
BGD,Bangladesh,capitalist_periphery,1.4255173004084571,0.2429333376666667
BGR,Bulgaria,socialist,9.572572398632326,8.925016721166667
BHR,Bahrain,capitalist_periphery,29.60222930174319,3.314399958
BOL,Bolivia,capitalist_periphery,7.82626667062397,2.058799982
BRA,Brazil,capitalist_periphery,8.910157637484838,4.995100021
BWA,Botswana,capitalist_periphery,18.636175633002033,2.363100052
CAF,Central African Republic,capitalist_periphery,2.957527346918367,1.558599949
CAN,Canada,capitalist_core,33.67961623644355,6.8400001526
CHL,Chile,capitalist_periphery,5.796214463824952,3.406399965
CHN,China,socialist,3.193644909152589,2.1872727112727275
CMR,Cameroon,capitalist_periphery,2.286363012534243,2.465899944
COD,"Congo, DRC",capitalist_periphery,3.3743542720156814,3.225300074
COL,Colombia,capitalist_periphery,8.375905683500374,1.564100027
CRI,Costa Rica,capitalist_periphery,14.685615953930728,3.314399958
CSK,Czechoslovakia,socialist,12.536623268830011,10.569569758780004
CYP,Cyprus,capitalist_periphery,27.637030401965898,5.686549901999999
DEU,Germany,capitalist_core,22.54431518237272,11.25
DNK,Denmark,capitalist_core,19.763746847799784,7.936363653636364
ECU,Ecuador,capitalist_periphery,5.64559636312735,2.2267499565
EGY,Egypt,capitalist_periphery,3.2536061608157922,2.0450333753333334
ESP,Spain,capitalist_core,13.883450072129872,5.257142884142858
ETH,Ethiopia,revolutionary,3.416834897596761,0.2906000015
FIN,Finland,capitalist_core,22.820911544568084,14.80000019
FRA,France,capitalist_core,16.793391896894832,10.836363791818185
GAB,Gabon,capitalist_periphery,13.504874368634669,1.552000046
GBR,United Kingdom,capitalist_core,17.71803666837235,7.750000238
GHA,Ghana,capitalist_periphery,2.6067374643661267,1.4089000225
GMB,The Gambia,capitalist_periphery,12.255340154532611,1.657799959
GRC,Greece,capitalist_periphery,12.655331388457604,5.849999904500001
GTM,Guatemala,capitalist_periphery,2.7143771012277655,2.00270009
HKG,Hong Kong,capitalist_periphery,34.045656678608296,4.51574993125
HND,Honduras,capitalist_periphery,3.993470738704064,1.4457666476666666
HTI,Haiti,capitalist_periphery,3.7159873959609224,0.7465333343333334
IDN,Indonesia,capitalist_periphery,2.641576499099904,0.6875500084999999
IND,India,capitalist_periphery,2.7902089673991326,0.724124998
IRL,Ireland,capitalist_core,20.727961009431418,8.666666666666666
IRN,Iran,capitalist_periphery,8.094742533085387,1.4980999825
IRQ,Iraq,capitalist_periphery,5.1943614702950045,1.9197500345
ISL,Iceland,capitalist_core,50.12074574091185,15.30000019
ISR,Israel,capitalist_periphery,23.496283747987793,6.8460429057142855
ITA,Italy,capitalist_core,16.552230084948228,9.536363688363636
JAM,Jamaica,capitalist_periphery,8.3017108123659,4.166399956
JOR,Jordan,capitalist_periphery,13.234896983644905,1.1738750040000001
JPN,Japan,capitalist_core,18.6080802965509,14.19999981
KEN,Kenya,capitalist_periphery,4.263876577500562,1.478550017
KOR,South Korea,capitalist_periphery,7.947120753977241,2.0500000715
KWT,Kuwait,capitalist_periphery,127.54988707061418,4.14470005
LBR,Liberia,capitalist_periphery,2.4621296850903485,1.646999955
LBY,Libya,capitalist_periphery,13.567764024117013,4.825500011
LKA,Sri Lanka,capitalist_periphery,1.5304221579858028,3.071633339
MAR,Morocco,capitalist_periphery,3.9445421412211927,1.307899952
MDG,Madagascar,revolutionary,3.652132624709118,2.431299925
MEX,Mexico,capitalist_periphery,8.082116491300365,0.699999988
MLI,Mali,capitalist_periphery,2.301047792590852,0.714299977
MLT,Malta,capitalist_periphery,42.40389569624415,9.463899612
MMR,Myanmar,capitalist_periphery,2.2709924848232776,0.8573499920000001
MNG,Mongolia,socialist,17.359561120320286,11.113049985
MOZ,Mozambique,revolutionary,3.5070626231903193,1.089699984
MRT,Mauritania,capitalist_periphery,8.510259225075762,0.555950001
MYS,Malaysia,capitalist_periphery,7.105703521760238,2.7275333403333333
NER,Niger,capitalist_periphery,5.522436590261997,0.495299995
NGA,Nigeria,capitalist_periphery,1.4642414611031214,0.7109999955
NIC,Nicaragua,revolutionary,5.182918138359776,2.408949971
NPL,Nepal,capitalist_periphery,1.325389444242773,0.164500003
NZL,New Zealand,capitalist_core,27.282736683456225,9.849999905
OMN,Oman,capitalist_periphery,18.327520467260463,1.6139500145
PAK,Pakistan,capitalist_periphery,2.531157124066857,0.5562333266666667
PAN,Panama,capitalist_periphery,9.939833523166484,3.367500067
PER,Peru,capitalist_periphery,6.72933319408701,2.0922499895
PHL,Philippines,capitalist_periphery,4.287998103698274,1.718142850142857
PNG,Papua New Guinea,capitalist_periphery,3.740048482249253,5.0553251505
POL,Poland,socialist,15.800226627083122,5.649999857
PRT,Portugal,capitalist_core,9.96231093694677,4
PRY,Paraguay,capitalist_periphery,13.393072647663473,1.682999969
ROU,Romania,socialist,14.72827838306776,8.8396400452
RWA,Rwanda,capitalist_periphery,2.6800327489100666,1.4162333010000001
SAU,Saudi Arabia,capitalist_periphery,19.17710655321403,1.458199978
SDN,Sudan,capitalist_periphery,3.2708869302359074,0.9180333216666666
SEN,Senegal,capitalist_periphery,4.520994247713054,1.290099978
SGP,Singapore,capitalist_periphery,30.39122341753923,3.732600053
SLE,Sierra Leone,capitalist_periphery,2.223656127136339,1.0606999695
SLV,El Salvador,capitalist_periphery,4.588293794950829,1.985000014
